'name','smiles','inchi','mult','charge'
'C2H2','C#C','InChI=1S/C2H2/c1-2/h1-2H',1,0
'PC4H9','CCC[CH2]','InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3',2,0
'PC4H9O2','CCCCO[O]','InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3',2,0
'PC4H9O2H','CCCCOO','InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3',1,0
'SC3H5CHO','CC=CC=O','InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3',1,0
'SC3H5CO','CC=C[C]=O','InChI=1S/C4H5O/c1-2-3-4-5/h2-3H,1H3',2,0
'SC4H9','C[CH]CC','InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3',2,0
'SC4H9O2','CC(O[O])CC','InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3',2,0
'SC4H9O2H','CC(OO)CC','InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3',1,0
'SQC4H7OHP-4','[CH2]CC(OO)CO','InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-6H,1-3H2',2,0
'TC4H9O2','[O]OC(C)(C)C','InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3',2,0
'TC4H9O2H','OOC(C)(C)C','InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3',1,0
